id,name,function_category,source_category,original_section,favorite,pianist_compatibility,main_harmony,rhythmic_chords,support_pad,pluck_arp,hook_lead,texture
1,Pure Swell,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
2,Energy Orchestra,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
3,Figure Storm,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
4,Ghost Flute,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
5,Guidance Language,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
7,Lift Tight,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
8,Light Trade,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
9,Lonely Brass,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
10,Lovely Corrupted,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
11,Random Collage,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
12,No Time,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
13,Retro Heart,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
14,Budding Swell,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
15,Small Delight,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
16,Sonic Neon,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
17,Ultra Sine,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
18,Violet Strings,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
19,Warm Wiggle,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
20,Analog Brass,Chords,Synths,Pads,false,conditional,0.68,0.72,0.48,0.35,0.35,0.45
98,Proof Motion,Pads,Synths,Pads,false,conditional,0.42,0.22,0.96,0.12,0.28,0.78
22,Fair Bells,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
23,My Darling,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
24,Early Bird,Chords,Synths,Keys,false,conditional,0.68,0.72,0.48,0.35,0.35,0.45
25,Easy Sine,Keys,Synths,Keys,true,preferred,0.92,0.78,0.28,0.35,0.42,0.25
26,Everything Right,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
27,Fall Brass,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
28,August Flute,Chords,Synths,Keys,false,conditional,0.68,0.72,0.48,0.35,0.35,0.45
29,Atomic Saw,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
30,Forgotten Baby,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
31,Genuine,Chords,Synths,Keys,false,conditional,0.68,0.72,0.48,0.35,0.35,0.45
32,Gone,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
33,Go Back,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
34,Great Simple,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
35,Grid Flute,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
36,Health Brass,Chords,Synths,Keys,false,conditional,0.68,0.72,0.48,0.35,0.35,0.45
37,Heard Something,Keys,Synths,Keys,false,preferred,0.92,0.78,0.28,0.35,0.42,0.25
38,Hidden Whistle,Keys,Synths,Keys,true,preferred,0.92,0.78,0.28,0.35,0.42,0.25
